1;arms_factory;2947.00;13.68;1367.00;4.35;0
1;arms_factory;2950.00;11.82;1359.00;2.19;0
1;arms_factory;2944.00;10.10;1363.00;4.85;0
1;arms_factory;2944.00;10.10;1363.00;1.23;0
1;arms_factory;2947.00;9.68;1354.00;2.79;0
1;arms_factory;2947.00;9.75;1356.00;0.63;0
1;industrial_complex;2951.00;11.57;1368.00;3.30;0
1;industrial_complex;2951.00;11.57;1368.00;5.96;0
1;industrial_complex;2943.00;10.68;1368.00;2.70;0
1;industrial_complex;2948.00;11.18;1360.00;3.90;0
1;industrial_complex;2948.00;11.18;1360.00;1.74;0
1;industrial_complex;2948.00;12.48;1363.00;4.41;0
1;air_base;2948.00;12.48;1363.00;5.97;0
1;naval_base;2953.00;9.50;1375.00;-3.00;5555
1;naval_base;2944.00;9.53;1358.00;-0.79;5579
1;naval_base;2942.00;9.63;1366.00;-1.19;5579
1;bunker;2947.00;13.68;1367.00;4.42;0
1;bunker;2951.00;11.40;1369.00;2.26;0
1;bunker;2950.00;12.05;1361.00;4.92;0
1;trench;2944.00;10.10;1363.00;0.19;0
1;trench;2949.00;9.70;1353.00;2.86;0
1;trench;2950.00;12.23;1367.00;0.70;0
1;coastal_bunker;2940.00;9.50;1365.00;-1.19;0
1;coastal_bunker;2954.00;9.70;1370.00;0.98;0
1;coastal_bunker;2948.00;9.50;1351.00;-0.79;0
1;dockyard;2941.00;9.50;1365.00;-1.19;0
1;anti_air_building;2948.00;11.60;1361.00;0.35;0
1;anti_air_building;2948.00;11.60;1361.00;3.37;0
1;anti_air_building;2949.00;12.80;1363.00;6.04;0
1;synthetic_refinery;2951.00;10.23;1356.00;2.42;0
1;fuel_silo;2951.00;10.23;1356.00;0.26;0
1;radar_station;2948.00;13.38;1365.00;2.05;0
1;rocket_site;2953.00;10.28;1370.00;4.48;0
1;nuclear_reactor;2948.00;13.60;1368.00;0.86;0
2;arms_factory;3010.00;11.48;1362.00;4.85;0
2;arms_factory;3006.00;9.95;1356.00;1.23;0
2;arms_factory;3009.00;11.30;1363.00;2.79;0
2;arms_factory;3008.00;10.10;1355.00;0.63;0
2;arms_factory;3006.00;10.15;1357.00;3.30;0
2;arms_factory;3014.00;10.95;1355.00;5.96;0
2;industrial_complex;3013.00;10.93;1355.00;2.70;0
2;industrial_complex;3006.00;10.23;1358.00;3.90;0
2;industrial_complex;3013.00;11.10;1356.00;1.74;0
2;industrial_complex;3012.00;10.98;1356.00;4.41;0
2;industrial_complex;3014.00;10.05;1351.00;5.97;0
2;industrial_complex;3013.00;11.30;1357.00;2.35;0
2;air_base;3012.00;11.13;1357.00;0.19;0
2;naval_base;3004.00;9.50;1351.00;-0.52;5656
2;naval_base;3009.00;9.50;1349.00;-0.79;5656
2;bunker;3011.00;11.70;1362.00;2.26;0
2;bunker;3007.00;9.60;1352.00;4.92;0
2;trench;3001.00;9.57;1355.00;0.19;0
2;trench;3013.00;10.28;1352.00;2.86;0
2;coastal_bunker;3001.00;9.50;1353.00;-0.52;0
2;coastal_bunker;3009.00;9.50;1349.00;-0.79;0
2;dockyard;3009.00;9.50;1349.00;-0.79;0
2;anti_air_building;3009.00;9.98;1354.00;1.31;0
2;anti_air_building;3010.00;9.57;1349.00;3.97;0
2;anti_air_building;3008.00;11.53;1367.00;0.35;0
2;synthetic_refinery;3005.00;10.07;1359.00;3.37;0
2;fuel_silo;3010.00;9.68;1350.00;6.04;0
